iter	Passed	Remaining
929	15909	1197
930	15922	1180
931	15936	1162
932	15948	1145
933	15964	1128
934	16001	1112
935	16014	1094
936	16024	1077
937	16037	1060
938	16049	1042
939	16060	1025
940	16073	1007
941	16085	990
942	16098	973
943	16112	955
944	16123	938
945	16135	921
946	16148	903
947	16164	886
948	16175	869
949	16208	853
950	16220	835
951	16233	818
952	16247	801
953	16257	783
954	16270	766
955	16283	749
956	16296	732
957	16307	714
958	16334	698
959	16372	682
960	16400	665
961	16462	650
962	16595	637
963	16629	621
964	16787	608
965	16860	593
966	16894	576
967	16952	560
968	16989	543
969	17067	527
970	17106	510
971	17132	493
972	17144	475
973	17163	458
974	17173	440
975	17189	422
976	17202	404
977	17217	387
978	17230	369
979	17243	351
980	17275	334
981	17286	316
982	17299	299
983	17312	281
984	17326	263
985	17346	246
986	17365	228
987	17381	211
988	17397	193
989	17437	176
990	17455	158
991	17471	140
992	17483	123
993	17498	105
994	17524	88
995	17540	70
996	17556	52
997	17571	35
998	17610	17
999	17626	0
